strata_id,cluster_id,number_of_individual,individual_id,x_1,x_2,x_3,x_4,x_5,x_6,x_7,x_8,x_9,x_10,z_1,z_2,z_3,z_4,z_5,z_6,z_7,z_8,z_9,z_10,strata_y,strata_cohort,strata_sub,base_weight,pr,y,SEQN
1,1,137,1,-0.415,-1.395,1.137,-2.226,-0.335,1.485,0.058,-0.595,0.283,0.281,0,0,1,0,1,1,0,0,0,1,1,0,0,3.4693430656934305,0.874666879530177,3.809542258182849,1
1,1,137,2,-0.394,-0.657,0.023,1.155,-1.106,0.238,-1.792,0.743,0.487,1.85,1,1,1,0,1,1,1,1,0,1,1,0,0,3.4693430656934305,0.7295798477384465,1.5185718896395688,2
1,1,137,3,-0.059,-1.018,-0.619,-1.607,0.498,0.95,-0.134,0.605,-0.058,-0.169,0,1,0,0,0,0,0,0,1,1,1,0,0,3.4693430656934305,0.789375790811622,0.9615988381141864,3
1,1,137,4,1.1,1.016,-1.906,-0.118,1.279,0.942,0.915,1.469,-1.353,-1.015,0,1,0,1,1,0,1,0,1,0,1,0,0,3.4693430656934305,0.2687643007646056,-0.2236677377537062,4
1,1,137,5,0.763,0.764,-1.151,-0.903,1.539,-0.436,-1.852,-1.402,0.605,-0.936,1,1,1,0,0,0,0,0,1,0,1,0,0,3.4693430656934305,0.4968847774152722,1.6661852751201376,5
1,1,137,6,-0.165,1.343,0.492,0.396,-0.736,0.558,0.424,1.114,0.451,0.126,1,0,0,0,0,0,1,0,0,1,1,0,0,3.4693430656934305,0.994150264664031,6.129116523878587,6
1,1,137,7,-0.253,-0.224,-0.873,0.622,1.331,0.163,-0.496,-0.071,-0.532,-0.284,0,1,1,0,1,0,0,1,1,1,1,0,0,3.4693430656934305,0.21806455356777418,-2.7148532521645787,7
1,1,137,8,0.697,0.726,-2.121,-0.659,0.877,-0.765,0.232,0.804,-1.458,-0.27,0,1,0,0,0,1,0,0,1,1,1,0,0,3.4693430656934305,0.33179425789809064,1.6160984640232445,8
1,1,137,9,0.557,-2.21,1.203,0.897,0.961,-2.214,-0.488,-2.099,-1.575,-0.245,1,1,0,0,0,0,0,0,0,1,1,0,0,3.4693430656934305,0.9984897111859619,9.1820655197681,9
1,1,137,10,-0.689,1.221,0.732,-0.455,1.173,-0.691,2.345,0.374,0.799,1.066,1,0,0,1,1,1,0,1,1,1,1,0,0,3.4693430656934305,0.995258665103079,5.3940916983508265,10
1,1,137,11,-0.707,-1.363,-1.726,0.841,0.664,-0.83,-0.344,-1.659,-2.061,1.768,0,1,0,1,1,0,1,1,1,1,1,0,0,3.4693430656934305,0.9688897037907755,2.9116903889031485,11
1,1,137,12,0.365,-0.841,-0.975,1.671,0.293,1.615,0.538,0.55,-0.188,1.455,1,0,1,0,0,1,1,0,1,1,1,0,0,3.4693430656934305,0.8189313397593656,1.6917048352386401,12
1,1,137,13,0.769,-0.463,0.169,-0.447,-2.168,0.583,-1.372,-0.32,-1.048,-0.424,0,1,1,1,1,0,0,0,1,1,1,0,0,3.4693430656934305,0.04082464168529439,-4.893944367279573,13
1,1,137,14,-0.112,-0.111,-1.213,1.417,2.201,-0.752,0.48,-0.855,0.793,0.383,1,0,0,1,0,1,0,0,1,0,1,0,0,3.4693430656934305,0.9641244351132482,3.3578458091793046,14
1,1,137,15,0.881,-0.19,1.992,-0.041,0.725,-0.746,0.83,-1.769,0.346,0.357,1,0,1,0,1,1,1,0,1,0,1,0,0,3.4693430656934305,0.5797976904508885,-0.39566124935861513,15
1,1,137,16,0.398,1.058,-2.081,1.08,-0.403,-0.022,2.541,0.403,1.246,2.005,1,0,0,0,0,1,1,0,0,1,1,0,0,3.4693430656934305,0.9799290553763382,4.097532920003828,16
1,1,137,17,-0.612,0.178,-0.417,-0.953,0.584,0.481,-0.339,-1.064,0.165,0.182,1,1,1,0,0,0,0,0,1,1,1,0,0,3.4693430656934305,0.692221782447171,1.0276556120928382,17
1,1,137,18,0.341,1.128,-1.046,-0.201,-1.493,2.203,0.141,-0.3,-0.154,1.572,1,0,1,0,0,1,0,0,1,1,1,0,0,3.4693430656934305,0.8907307281005205,2.88618811825605,18
1,1,137,19,-1.129,0.225,0.985,2.92,-0.079,-0.886,0.146,1.897,0.197,2.099,0,1,1,0,1,1,0,0,1,0,1,0,0,3.4693430656934305,0.6166771272239865,1.086830306441767,19
1,1,137,20,1.433,-0.229,0.287,-0.008,-1.04,-0.301,-0.391,-0.041,-1.694,-0.895,1,0,1,1,1,0,0,0,1,0,1,0,0,3.4693430656934305,0.44677342471042253,1.8914321554509224,20
1,1,137,21,1.98,-0.558,1.292,0.968,-0.461,-0.404,0.22,-0.708,-0.296,0.219,0,1,1,0,1,1,1,1,1,0,1,0,0,3.4693430656934305,0.004144611278694368,-5.824172190369049,21
1,1,137,22,-0.367,1.534,-0.599,0.864,0.224,-1.049,2.262,-0.685,0.632,-1.114,0,0,1,0,0,1,0,0,1,0,1,0,0,3.4693430656934305,0.9049949184395173,1.8390298567799972,22
1,1,137,23,-1.044,1.36,0.834,0.66,0.689,-1.115,-1.846,-0.782,0.803,-2.243,1,0,0,0,1,0,0,1,0,1,1,0,0,3.4693430656934305,0.997672064830011,4.709595883751292,23
1,1,137,24,0.57,1.271,-0.758,2.29,-0.174,-1.31,-0.383,-0.83,-0.394,-0.264,0,1,0,1,0,1,1,1,1,1,1,0,0,3.4693430656934305,0.6552695676256636,0.21571007922972246,24
1,1,137,25,-0.135,0.254,0.592,0.412,-2.445,0.492,0.707,-0.822,0.23,0.306,0,1,1,0,1,0,0,1,0,1,1,0,0,3.4693430656934305,0.1826282936193475,-1.3130152725960613,25
1,1,137,26,2.402,-1,1.011,-1.002,-0.328,-0.782,-1.22,0.713,0.211,0.02,0,0,0,0,1,1,0,0,0,0,1,0,0,3.4693430656934305,0.06678500359823963,-3.5167247467014757,26
